nombre,nivel,promedio,cluster,Matemáticas,Programación,Base de Datos,Redes,IA/ML,Inglés,Estadística,pca_x,pca_y
Alumno_01,🏆 Experto,92.6,1,92.5,89.3,93.2,97.6,88.8,88.8,97.9,-3.556555722243739,-0.748997720847852
Alumno_02,🏆 Experto,88.7,1,93.8,87.7,92.7,87.7,87.7,91.2,80.4,-2.829920803261878,-0.9199523442932722
Alumno_03,🏆 Experto,87.3,1,81.4,87.2,84.9,91.6,85.5,82.9,97.3,-2.605913786111114,-0.6344350467921672
Alumno_04,🏆 Experto,88.0,1,88.9,90.3,82.9,87.3,90.6,84.2,91.9,-2.7277332585824143,-0.5307945196537802
Alumno_05,🏆 Experto,90.1,1,87.0,88.5,87.0,99.3,89.9,84.7,94.1,-3.1171248281812667,-0.6442127545582236
Alumno_06,🏆 Experto,87.7,1,83.9,91.0,80.2,83.4,91.0,93.7,90.9,-2.575492101922936,-1.164002885015258
Alumno_07,🏆 Experto,88.8,1,89.4,88.5,82.6,86.4,87.7,95.3,91.7,-2.7781631454167277,-1.245354982928659
Alumno_08,🏆 Experto,90.1,1,81.2,91.6,88.1,86.6,93.1,95.2,94.7,-2.999593769976308,-1.2109112782722176
Alumno_09,🏆 Experto,88.9,1,85.8,88.5,91.7,94.9,87.6,89.1,84.5,-2.8638341155494547,-0.9242107620249643
Alumno_10,🏆 Experto,91.2,1,84.0,94.1,96.8,89.6,95.0,91.8,86.8,-3.2441110959280235,-0.8948842894205445
Alumno_11,🏆 Experto,91.2,1,91.8,97.7,89.8,97.8,76.9,94.1,90.4,-3.250500362045531,-1.1272908105217458
Alumno_12,🏆 Experto,89.2,1,88.5,90.5,80.1,88.9,91.8,97.4,87.4,-2.8285584372324637,-1.3657984599988588
Alumno_13,🥈 Avanzado,79.0,3,80.6,85.3,87.0,80.8,81.1,57.8,80.5,-1.3211119687410622,0.8218147210428602
Alumno_14,🥈 Avanzado,77.9,3,90.3,84.2,80.2,76.9,76.0,56.6,81.4,-1.1408520029231541,0.9402149656130311
Alumno_15,🥈 Avanzado,76.3,3,85.0,86.7,74.2,76.7,82.1,50.6,79.1,-0.8748661069949712,1.270631137748846
Alumno_16,🥈 Avanzado,79.6,3,87.2,98.3,83.0,80.4,83.6,44.5,79.9,-1.5180245388741664,1.888743523668093
Alumno_17,🥈 Avanzado,80.8,3,85.3,100.0,80.9,80.7,83.8,48.6,86.3,-1.6999603250468198,1.644539262066248
Alumno_18,🥈 Avanzado,81.7,3,89.1,92.3,77.0,86.7,76.3,58.2,92.0,-1.7939122729935333,0.9012271327821385
Alumno_19,🥈 Avanzado,75.5,3,79.6,84.9,82.5,76.2,75.5,55.4,74.2,-0.6875817685319049,0.8659160191921862
Alumno_20,🥈 Avanzado,78.7,3,87.6,83.0,90.5,74.7,82.2,59.5,73.3,-1.2595059325367635,0.8270571629052372
Alumno_21,🥈 Avanzado,78.9,3,86.2,95.2,73.2,80.0,85.4,59.3,73.2,-1.2584129868518745,0.8615858579540383
Alumno_22,🥈 Avanzado,78.7,3,77.8,90.9,83.6,80.4,85.9,51.3,81.3,-1.3061899124193508,1.2775675450516213
Alumno_23,🥈 Avanzado,79.3,3,86.6,84.1,92.2,81.6,77.5,58.6,74.7,-1.3945773316173034,0.8198432395354242
Alumno_24,🥈 Avanzado,83.1,3,89.3,94.3,77.5,84.3,86.3,59.5,90.4,-2.031190770721094,0.9559965950221444
Alumno_25,🥈 Avanzado,77.3,3,83.7,83.9,77.1,74.5,83.6,56.9,81.5,-1.000770211061402,0.8880989232754845
Alumno_26,🥈 Avanzado,82.5,3,89.5,88.1,90.0,77.6,98.9,58.4,75.3,-1.9565940282428358,1.131980090765831
Alumno_27,🥈 Avanzado,78.6,3,79.1,90.6,80.8,82.9,86.6,54.6,75.4,-1.2454529719459069,1.0443149740870006
Alumno_28,🥈 Avanzado,77.8,3,76.7,85.6,86.7,80.2,77.2,55.9,82.1,-1.1068648151931424,0.8575120405231941
Alumno_29,🥈 Avanzado,79.1,3,80.2,88.8,82.3,72.7,86.0,58.1,85.9,-1.3166802098150199,0.9184092243060004
Alumno_30,🥈 Avanzado,82.1,3,90.8,80.5,76.9,81.8,86.8,57.8,100.0,-1.8822950894308617,0.9386317337397435
Alumno_31,📘 Intermedio,70.7,0,71.6,75.2,74.0,72.1,66.0,72.8,63.1,0.34588094255930163,-0.5957536710189703
Alumno_32,📘 Intermedio,67.0,0,66.5,64.9,68.5,82.6,56.2,72.3,57.8,1.0031338228003226,-0.9800956309983461
Alumno_33,📘 Intermedio,67.0,0,65.0,74.9,68.4,61.2,63.5,72.3,63.4,1.0486000951128143,-0.6657097192863636
Alumno_34,📘 Intermedio,68.5,0,69.4,68.3,63.9,81.6,72.0,55.2,69.2,0.5941341323897876,0.29899927867703985
Alumno_35,📘 Intermedio,67.5,0,63.8,73.4,63.0,67.3,71.2,73.5,60.4,0.9666297812698634,-0.7854968723921112
Alumno_36,📘 Intermedio,68.3,0,65.9,65.0,63.9,79.2,70.6,60.0,73.8,0.6689300749563541,-0.069116856682619
Alumno_37,📘 Intermedio,69.9,0,81.4,74.5,58.4,64.9,76.0,63.5,70.8,0.42845233274278227,0.13692934199677087
Alumno_38,📘 Intermedio,62.6,0,72.9,62.1,67.6,47.5,61.5,66.4,60.1,1.7763221233338267,-0.33701456311806244
Alumno_39,📘 Intermedio,69.0,0,78.3,59.0,65.2,68.8,77.1,58.9,75.4,0.5328093192490255,0.21688695387271206
Alumno_40,📘 Intermedio,66.9,0,68.1,61.8,70.9,69.3,64.2,68.4,65.6,0.9898143290597423,-0.5754240118236453
Alumno_41,📘 Intermedio,69.0,0,68.7,72.2,78.0,60.2,81.5,55.7,67.0,0.5121869149074321,0.6077551821990491
Alumno_42,📘 Intermedio,67.8,0,71.7,69.8,64.1,66.7,64.9,64.3,73.4,0.8031029601436176,-0.17116907521507213
Alumno_43,📘 Intermedio,69.3,0,70.3,63.6,73.7,69.9,73.1,72.0,62.8,0.5768293491079796,-0.6485537239644683
Alumno_44,📘 Intermedio,69.4,0,64.5,72.7,71.9,67.9,68.7,76.1,64.3,0.6178931151829085,-0.8911806941639757
Alumno_45,📘 Intermedio,71.8,0,71.5,66.7,66.6,74.9,73.2,73.1,76.3,0.15663934386787326,-0.68694962707368
Alumno_46,📘 Intermedio,69.2,0,68.1,72.3,66.0,70.1,67.2,68.6,71.8,0.6053923934850631,-0.4354552064724313
Alumno_47,📘 Intermedio,69.4,0,62.8,81.2,61.6,60.3,75.3,73.0,71.9,0.6357400280376369,-0.5586250635766387
Alumno_48,📘 Intermedio,68.0,0,72.0,67.9,62.3,68.5,63.7,74.2,67.1,0.8660813083513779,-0.847548010737882
Alumno_49,📗 Básico,48.6,2,45.1,48.1,52.4,46.7,45.1,51.4,51.4,4.22986161500464,-0.29012277573304596
